topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
0.5,30,5.0,1933.9585606718786
0.5,30,10.0,1957.7428406379302
0.5,35,,2117.734710085931
0.5,35,0.05,1994.2421310727743
0.5,35,0.1,1937.1435335568144
0.5,35,0.5,1966.6807380386483
0.5,35,1.0,1951.7445143910525
0.5,35,5.0,1978.5011865645943
0.5,35,10.0,2002.979049776728
0.5,40,,2253.9288528687666
0.5,40,0.05,2092.121375239053
0.5,40,0.1,2046.7393851875015
0.5,40,0.5,2056.5986022301145
0.5,40,1.0,2026.6874381480907
0.5,40,5.0,2050.2923024616784
0.5,40,10.0,2064.3086829671083
0.5,45,,2358.696326241445
0.5,45,0.05,2173.5484567331814
0.5,45,0.1,2144.837302526347
0.5,45,0.5,2121.645936134763
0.5,45,1.0,2061.2774377574656
0.5,45,5.0,2085.767272855767
0.5,45,10.0,2145.7349786668424
0.5,50,,2493.816856876303
0.5,50,0.05,2271.627889593951
0.5,50,0.1,2250.7897685484295
0.5,50,0.5,2194.540586132155
0.5,50,1.0,2120.7063684971
0.5,50,5.0,2122.4338469540044
0.5,50,10.0,2191.383562050415
1.0,3,,1100.567364430568
1.0,3,0.05,1180.7868988779037
1.0,3,0.1,1138.9914985104256
1.0,3,0.5,1100.6616834610807
1.0,3,1.0,1124.6453855003076
1.0,3,5.0,1411.8174006598329
1.0,3,10.0,1685.1336862404546
1.0,5,,1151.6544959450189
1.0,5,0.05,1234.8105480696054
1.0,5,0.1,1181.7697368511813
1.0,5,0.5,1153.9441006148825
1.0,5,1.0,1202.8024178322107
1.0,5,5.0,1604.5747167268382
1.0,5,10.0,1801.1886632773453
1.0,7,,1214.5258995438523
1.0,7,0.05,1294.0264710276194
1.0,7,0.1,1233.531631523327
1.0,7,0.5,1222.4939478566218
1.0,7,1.0,1297.2501030390226
1.0,7,5.0,1735.3810180257442
1.0,7,10.0,1804.9379932501993
1.0,9,,1289.1162887388762
1.0,9,0.05,1360.7960690643667
1.0,9,0.1,1295.574516664046
1.0,9,0.5,1304.9293807754048
1.0,9,1.0,1399.3270621269119
1.0,9,5.0,1738.738298906192
1.0,9,10.0,1797.1129108520581
1.0,11,,1346.7397074006378
1.0,11,0.05,1407.516953782634
1.0,11,0.1,1340.2401235709422
1.0,11,0.5,1374.7281535138923
1.0,11,1.0,1492.200429166975
1.0,11,5.0,1777.085303226054
1.0,11,10.0,1842.9774585485643
1.0,13,,1419.7494575722342
1.0,13,0.05,1469.6377176563335
1.0,13,0.1,1399.5216704574834
1.0,13,0.5,1454.167703121237
1.0,13,1.0,1578.4332700989746
1.0,13,5.0,1811.5884842819128
1.0,13,10.0,1916.1365050265163
1.0,15,,1486.483778782666
1.0,15,0.05,1523.0001541110773
1.0,15,0.1,1452.7724595689585
1.0,15,0.5,1527.5241863874573
1.0,15,1.0,1650.4949606430848
1.0,15,5.0,1891.8288177554853
1.0,15,10.0,1856.031970794543
1.0,17,,1563.4995302925806
1.0,17,0.05,1586.3358001767351
1.0,17,0.1,1514.7951907999372
1.0,17,0.5,1605.5978016267168
1.0,17,1.0,1722.7102839341655
1.0,17,5.0,1913.9882704085485
1.0,17,10.0,1882.0268767566445
1.0,20,,1675.1533587954157
1.0,20,0.05,1675.1533587954157
1.0,20,0.1,1605.7673297934662
1.0,20,0.5,1721.7994349948895
1.0,20,1.0,1812.0917453204688
1.0,20,5.0,1946.0430964757993
1.0,20,10.0,1913.9944328565234
1.0,25,,1847.3652972135235
1.0,25,0.05,1807.5632657074573
1.0,25,0.1,1746.37644901864
1.0,25,0.5,1876.6973347314313
1.0,25,1.0,1912.8041832153856
1.0,25,5.0,2007.909188193993
1.0,25,10.0,2038.063330150117
1.0,30,,2025.841690540686
1.0,30,0.05,1943.6279923642965
1.0,30,0.1,1893.4421938717503
1.0,30,0.5,2035.6044094110316
1.0,30,1.0,2013.153346405457
1.0,30,5.0,2023.706506210181
1.0,30,10.0,2089.0454544955055
1.0,35,,2199.276809785095
1.0,35,0.05,2073.1280608185966
1.0,35,0.1,2036.1543218466672
1.0,35,0.5,2163.095297324215
1.0,35,1.0,2072.0346201595376
1.0,35,5.0,2059.9902033591243
1.0,35,10.0,2124.071658237409
1.0,40,,2384.771678453756
1.0,40,0.05,2209.214445583898
1.0,40,0.1,2181.510628256518
1.0,40,0.5,2273.2693367755523
1.0,40,1.0,2185.368795830639
1.0,40,5.0,2087.24610133421
1.0,40,10.0,2130.544960751748
1.0,45,,2566.1138715999123
1.0,45,0.05,2340.111383413116
1.0,45,0.1,2323.2279831081646
1.0,45,0.5,2317.2246722846016
1.0,45,1.0,2202.313413685476
1.0,45,5.0,2139.468793665229
1.0,45,10.0,2215.455335902404
1.0,50,,2779.545298138414
1.0,50,0.05,2491.921237327061
1.0,50,0.1,2481.275414290662
1.0,50,0.5,2404.7887817321543
1.0,50,1.0,2273.596521626033
1.0,50,5.0,2165.7983788439674
1.0,50,10.0,2269.1407968786616
5.0,3,,1116.9662443145512
5.0,3,0.05,1194.896542950771
5.0,3,0.1,1153.300288599948
5.0,3,0.5,1118.5516689242759
5.0,3,1.0,1146.0312363235316
5.0,3,5.0,1452.1421443323475
5.0,3,10.0,1773.035567167884
5.0,5,,1197.4780956213858
5.0,5,0.05,1288.4576067621176
5.0,5,0.1,1230.4707641871782
5.0,5,0.5,1200.8141004605732
5.0,5,1.0,1254.9346035236629
5.0,5,5.0,1725.3258316603508
5.0,5,10.0,2055.0977195977434
5.0,7,,1284.1515815380073
5.0,7,0.05,1382.0339731849879
5.0,7,0.1,1308.3635305534515
5.0,7,0.5,1284.2190620819565
5.0,7,1.0,1363.3240000912772
5.0,7,5.0,1956.9781747592467
5.0,7,10.0,2178.867477567007
5.0,9,,1414.8024391662536
5.0,9,0.05,1521.242926810832
5.0,9,0.1,1425.2633592439684
5.0,9,0.5,1394.3278540732592
5.0,9,1.0,1490.3525365442547
5.0,9,5.0,2105.1871610626167
5.0,9,10.0,2179.2796471474735
5.0,11,,1547.8967613514635
5.0,11,0.05,1655.2615661690834
5.0,11,0.1,1534.9813552470357
5.0,11,0.5,1493.2675647959616
5.0,11,1.0,1604.6862037090136
5.0,11,5.0,2271.8726924609523
5.0,11,10.0,2283.1857740163578
5.0,13,,1728.0983786650672
5.0,13,0.05,1832.5602532470227
5.0,13,0.1,1678.997148663561
5.0,13,0.5,1607.5109921746061
5.0,13,1.0,1722.7598692890933
5.0,13,5.0,2442.7034826693684
5.0,13,10.0,2378.1896748989857
5.0,15,,1938.5968912838264
5.0,15,0.05,2030.7393738738508
5.0,15,0.1,1837.6207937206113
5.0,15,0.5,1722.464351256096
5.0,15,1.0,1836.7349717331756
5.0,15,5.0,2642.2916757394205
5.0,15,10.0,2446.2099082269956
5.0,17,,2173.7119757212067
5.0,17,0.05,2239.9391732599834
5.0,17,0.1,2004.012325172115
5.0,17,0.5,1840.6950695551136
5.0,17,1.0,1951.7289377896973
5.0,17,5.0,2834.6442117318093
5.0,17,10.0,2600.606434308381
5.0,20,,2599.8075710910157
5.0,20,0.05,2599.8075710910157
5.0,20,0.1,2287.7234536775973
5.0,20,0.5,2026.6239363416655
5.0,20,1.0,2123.1099369576777
5.0,20,5.0,3084.873380645339
5.0,20,10.0,2935.165050219591
5.0,25,,3426.769794772088
