topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
0.05,15,8.5,1631.2582123249194
0.05,15,10.0,1595.8207885696888
0.05,17,0.5,1441.9490344407525
0.05,17,1.0,1498.468734784202
0.05,17,2.5,1572.2051999078467
0.05,17,3.5,1589.5224907726908
0.05,17,5.0,1618.021017024604
0.05,17,6.5,1632.699797788781
0.05,17,8.5,1609.409668903162
0.05,17,10.0,1596.7578846516856
0.05,20,0.5,1487.500134618175
0.05,20,1.0,1521.0872776647852
0.05,20,2.5,1559.4837991781485
0.05,20,3.5,1581.2488873461443
0.05,20,5.0,1610.8543692555402
0.05,20,6.5,1628.0659636469304
0.05,20,8.5,1620.8218670443214
0.05,20,10.0,1620.869247867416
0.05,22,0.5,1521.6259209506802
0.05,22,1.0,1527.675798582247
0.05,22,2.5,1588.5927841443238
0.05,22,3.5,1593.6836869245287
0.05,22,5.0,1645.2652710991388
0.05,22,6.5,1651.4074910715349
0.05,22,8.5,1656.6348018972858
0.05,22,10.0,1619.2901989130196
0.05,25,0.5,1573.0156384036898
0.05,25,1.0,1568.613329399493
0.05,25,2.5,1586.1106286139614
0.05,25,3.5,1612.1324987256564
0.05,25,5.0,1662.4350937235092
0.05,25,6.5,1677.3336610397014
0.05,25,8.5,1671.3426211154474
0.05,25,10.0,1641.6128978799636
0.05,27,0.5,1581.1142800474722
0.05,27,1.0,1572.0048322012017
0.05,27,2.5,1590.1747494900687
0.05,27,3.5,1608.487962736801
0.05,27,5.0,1640.0130600882508
0.05,27,6.5,1650.6091913986597
0.05,27,8.5,1663.260058966936
0.05,27,10.0,1627.9858397212176
0.05,30,0.5,1616.9707768480334
0.05,30,1.0,1607.2749477036728
0.05,30,2.5,1605.059571221615
0.05,30,3.5,1606.7623486917387
0.05,30,5.0,1639.8887813218341
0.05,30,6.5,1652.002246616415
0.05,30,8.5,1652.2104117549993
0.05,30,10.0,1654.8707326407057
0.05,32,0.5,1655.091544904731
0.05,32,1.0,1620.7578362574454
0.05,32,2.5,1631.0464671880545
0.05,32,3.5,1633.2163931018447
0.05,32,5.0,1647.5725234080078
0.05,32,6.5,1655.4183950257734
0.05,32,8.5,1619.3846303261003
0.05,32,10.0,1613.8598803922584
0.05,35,0.5,1683.925382975399
0.05,35,1.0,1640.4305991745005
0.05,35,2.5,1639.4854438047491
0.05,35,3.5,1625.6216120441763
0.05,35,5.0,1653.9394242784588
0.05,35,6.5,1663.0970028842662
0.05,35,8.5,1668.6743256562072
0.05,35,10.0,1627.869117259936
0.05,37,0.5,1717.3113378960636
0.05,37,1.0,1645.798900367823
0.05,37,2.5,1637.263321147997
0.05,37,3.5,1666.8379985487404
0.05,37,5.0,1683.8859191394167
0.05,37,6.5,1676.8841594969606
0.05,37,8.5,1667.0013771853628
0.05,37,10.0,1677.5340735941584
0.05,40,0.5,1726.6943317380017
0.05,40,1.0,1675.857442454336
0.05,40,2.5,1667.830881717454
0.05,40,3.5,1693.9801256178955
0.05,40,5.0,1686.1870397003827
0.05,40,6.5,1655.3852098476862
0.05,40,8.5,1665.8044924006845
0.05,40,10.0,1681.5290247528028
0.05,42,0.5,1746.2140388495186
0.05,42,1.0,1661.4209324139724
0.05,42,2.5,1645.863626104218
0.05,42,3.5,1672.404350600321
0.05,42,5.0,1691.9879964651009
0.05,42,6.5,1669.654819303139
0.05,42,8.5,1676.334769305146
0.05,42,10.0,1700.7329079406186
0.05,45,0.5,1749.7387268799587
0.05,45,1.0,1678.7042904395937
0.05,45,2.5,1625.0985237687148
0.05,45,3.5,1656.4287192988697
0.05,45,5.0,1696.8124242528004
0.05,45,6.5,1703.4150966345849
0.05,45,8.5,1653.860142868563
0.05,45,10.0,1655.807117908089
0.05,47,0.5,1770.8539906597712
0.05,47,1.0,1670.6894051635165
0.05,47,2.5,1664.2624016959228
0.05,47,3.5,1687.015039992221
0.05,47,5.0,1685.3998795582804
0.05,47,6.5,1685.1355187790991
0.05,47,8.5,1687.0317625324678
0.05,47,10.0,1702.928485721469
0.05,50,0.5,1808.0616582708049
0.05,50,1.0,1683.9008274337186
0.05,50,2.5,1670.6341443639328
0.05,50,3.5,1688.9546669450697
0.05,50,5.0,1689.0946235623808
0.05,50,6.5,1698.8469648577404
0.05,50,8.5,1687.8659710021584
0.05,50,10.0,1709.6210871816068
0.1,5,0.5,1138.947469728245
0.1,5,1.0,1178.82273907424
0.1,5,2.5,1337.9827328122528
0.1,5,3.5,1431.5786655026707
